2022-07-11_10-30-44 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2022-07-11_10-30-44 [restartedMain] INFO  c.c.p.p.PolicyMicroserviceApplication - Starting PolicyMicroserviceApplication using Java 17.0.2 on DESKTOP-ED6DVAS with PID 6048 (C:\Users\KHALID ANSARI\Downloads\policy-management-system-master (2)\policy-management-system-master\Policy-Microservice\target\classes started by KHALID ANSARI in C:\Users\KHALID ANSARI\Downloads\policy-management-system-master (2)\policy-management-system-master\Policy-Microservice)
2022-07-11_10-30-44 [restartedMain] INFO  c.c.p.p.PolicyMicroserviceApplication - No active profile set, falling back to default profiles: default
2022-07-11_10-30-44 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-07-11_10-30-44 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-07-11_10-30-44 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-07-11_10-30-44 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 121 ms. Found 2 JPA repository interfaces.
2022-07-11_10-30-44 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=7f239560-74ab-343d-90fb-c2a50a8d06ff
2022-07-11_10-30-44 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cognizant.pas.policy.feign.AuthorisingClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-11_10-30-44 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cognizant.pas.policy.feign.ConsumerClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-11_10-30-44 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cognizant.pas.policy.feign.QuotesClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-11_10-30-44 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8300 (http)
2022-07-11_10-30-44 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8300"]
2022-07-11_10-30-44 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-07-11_10-30-44 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-07-11_10-30-44 [restartedMain] INFO  o.a.c.c.C.[.[.[/policy-api] - Initializing Spring embedded WebApplicationContext
2022-07-11_10-30-44 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5575 ms
2022-07-11_10-30-44 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-07-11_10-30-44 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
